Year,Energy from renewable & waste sources,Total energy consumption of primary fuels and equivalents,Fraction from renewable sources and waste,Hydroelectric power,"Wind, wave, tidal",Solar photovoltaic,Geothermal aquifers,Landfill gas,Sewage gas,Biogas from autogen,Municipal solid waste (MSW),Poultry litter,Straw,Wood,Charcoal,Liquid bio-fuels,Bioethanol,Biodiesel,Biomass,Cross-boundary Adjustment
1990,1.647,225.532,0.007,0.448,0.001,0.000,0.001,0.080,0.138,0.000,0.183,0.000,0.007,0.687,0.039,0.000,0.000,0.000,0.065,0.000
1991,1.634,231.288,0.007,0.398,0.001,0.000,0.001,0.105,0.151,0.000,0.185,0.000,0.007,0.687,0.036,0.000,0.000,0.000,0.065,0.000
1992,1.843,228.696,0.008,0.467,0.003,0.000,0.001,0.155,0.151,0.000,0.210,0.016,0.007,0.736,0.033,0.000,0.000,0.000,0.065,0.000
1993,1.862,231.368,0.008,0.370,0.019,0.000,0.001,0.162,0.158,0.000,0.268,0.043,0.007,0.736,0.034,0.000,0.000,0.000,0.065,0.000
1994,2.528,230.739,0.011,0.438,0.030,0.000,0.001,0.188,0.170,0.000,0.385,0.101,0.007,1.108,0.034,0.000,0.000,0.000,0.065,0.000
1995,2.644,230.886,0.011,0.416,0.034,0.000,0.001,0.199,0.193,0.000,0.411,0.101,0.007,1.182,0.035,0.000,0.000,0.000,0.065,0.000
1996,2.581,243.392,0.011,0.292,0.042,0.000,0.001,0.249,0.193,0.000,0.396,0.101,0.007,1.194,0.041,0.000,0.000,0.000,0.065,0.000
1997,2.611,240.756,0.011,0.378,0.057,0.000,0.001,0.317,0.192,0.000,0.465,0.101,0.007,0.991,0.038,0.000,0.000,0.000,0.065,0.000
1998,3.013,246.790,0.012,0.440,0.075,0.000,0.001,0.402,0.181,0.000,0.649,0.112,0.007,1.077,0.040,0.000,0.000,0.000,0.029,0.000
1999,3.148,246.112,0.013,0.459,0.073,0.000,0.001,0.572,0.189,0.000,0.633,0.148,0.007,0.959,0.033,0.000,0.000,0.000,0.074,0.000
2000,3.164,248.037,0.013,0.437,0.081,0.000,0.001,0.731,0.169,0.000,0.678,0.159,0.015,0.766,0.036,0.000,0.000,0.000,0.090,0.000
2001,3.270,252.807,0.013,0.348,0.083,0.000,0.001,0.836,0.168,0.000,0.731,0.199,0.076,0.716,0.033,0.000,0.000,0.000,0.078,0.000
2002,3.575,244.980,0.015,0.412,0.108,0.000,0.001,0.892,0.174,0.000,0.795,0.195,0.061,0.716,0.035,0.000,0.000,0.002,0.183,0.000
2003,3.802,248.011,0.015,0.278,0.111,0.000,0.001,1.088,0.165,0.003,0.816,0.181,0.085,0.719,0.037,0.000,0.000,0.016,0.301,0.000
2004,4.407,249.249,0.018,0.418,0.166,0.000,0.001,1.327,0.177,0.005,0.790,0.164,0.080,0.778,0.040,0.011,0.000,0.017,0.434,0.000
2005,5.026,249.704,0.020,0.423,0.250,0.001,0.001,1.421,0.206,0.005,0.794,0.158,0.071,1.019,0.036,0.173,0.048,0.027,0.393,0.001
2006,5.380,243.557,0.022,0.395,0.363,0.001,0.001,1.465,0.190,0.006,0.856,0.147,0.075,0.992,0.035,0.202,0.054,0.139,0.458,0.003
2007,5.579,239.041,0.023,0.437,0.453,0.001,0.001,1.547,0.211,0.007,0.882,0.152,0.071,0.960,0.034,0.060,0.086,0.285,0.386,0.006
2008,6.463,235.284,0.027,0.442,0.612,0.001,0.001,1.554,0.230,0.009,0.910,0.179,0.079,1.206,0.031,0.028,0.116,0.729,0.322,0.013
2009,7.258,220.872,0.033,0.450,0.798,0.002,0.001,1.626,0.249,0.016,1.089,0.176,0.076,1.214,0.033,0.014,0.180,0.859,0.462,0.014
2010,7.940,227.221,0.035,0.309,0.884,0.003,0.001,1.725,0.295,0.043,1.093,0.182,0.086,1.398,0.050,0.016,0.356,0.862,0.622,0.015
2011,8.846,213.972,0.041,0.489,1.373,0.021,0.001,1.758,0.318,0.088,1.087,0.212,0.080,1.537,0.048,0.016,0.367,0.765,0.674,0.014
2012,9.523,216.058,0.044,0.457,1.707,0.116,0.001,1.722,0.306,0.177,1.260,0.196,0.092,1.811,0.049,0.049,0.463,0.522,0.586,0.011
2013,11.238,213.781,0.053,0.400,2.442,0.173,0.001,1.711,0.320,0.252,1.182,0.207,0.105,2.518,0.082,0.055,0.492,0.630,0.657,0.012
2014,13.332,202.499,0.066,0.510,2.748,0.349,0.001,1.664,0.343,0.367,1.464,0.208,0.129,3.133,0.082,0.003,0.468,0.785,1.064,0.013
2015,16.075,203.941,0.079,0.540,3.463,0.648,0.001,1.612,0.366,0.522,1.952,0.222,0.167,4.166,0.080,0.004,0.461,0.554,1.308,0.010
2016,16.750,202.261,0.083,0.460,3.195,0.894,0.001,1.556,0.387,0.761,2.392,0.227,0.247,4.164,0.053,0.001,0.452,0.586,1.365,0.009
2017,18.656,197.273,0.095,0.510,4.268,0.985,0.001,1.419,0.398,0.925,2.561,0.216,0.261,4.236,0.089,0.001,0.452,0.574,1.751,0.009
2018,21.034,198.125,0.106,0.470,4.893,1.089,0.001,1.298,0.407,0.982,2.932,0.214,0.259,4.913,0.107,0.000,0.445,0.939,2.071,0.013
2019,22.871,192.500,0.119,0.500,5.485,1.082,0.001,1.202,0.434,1.016,3.255,0.222,0.335,5.370,0.068,0.000,0.443,1.319,2.121,0.018
2020,24.472,169.439,0.144,0.580,6.481,1.131,0.001,1.160,0.440,1.021,3.367,0.223,0.338,5.478,0.074,0.000,0.359,1.335,2.469,0.017
